gate_id,severity,domain,requirement,owner,due_date,status,wave1_readiness,user_action_required,estimated_duration,latest_start_date,evidence_location,evidence_sha256,verified_by,verified_at,expiry_or_review,next_action,notes
G-11,B0,同意,敏感个人信息声音人脸及已故者相关授权具备单独同意撤回和审计,产品负责人/法务/后端,2026-08-30,已观察到缺口；0/20照片组签署,照片授权登记表和近亲属声明草案已备,是,20组签署项目估算3至7个工作日；争议或多人可超过10个工作日,2026-08-03,docs/Release/wave1/05-photo-blind-test-register.csv;docs/Release/wave1/06-deceased-next-of-kin-rights-statement.md,,W08,2026-07-27,2026-08-02周审,取得20组真实签署和律师复核并实现撤回审计,模板不构成授权
G-12,B0/B1,用户权利,账号注销可在应用内发起并覆盖关联数据处理,产品负责人/后端,2026-08-30,已观察到缺口,非Wave1外部申请项,否,项目估算5至10个工作日,2026-08-11,app/report/page.tsx;repository-audit:no-account-deletion-api,,W08,2026-07-27,2026-08-02周审,实现应用内注销身份核验回执和全链路测试,仅邮件入口不满足
G-13,B0,用户权利,聊天历史互动数据可复制和删除且覆盖备份到期处理,产品负责人/后端,2026-08-30,已观察到缺口,非Wave1外部申请项,否,项目估算5至10个工作日,2026-08-11,repository-audit:no-chat-copy-delete-closure,,W08,2026-07-27,2026-08-02周审,实现并测试互动数据复制删除和备份到期,部分记忆媒体删除不能替代
G-14,B0,AI标识,AI显式标识覆盖对话声音图片视频和导出内容,产品负责人/客户端负责人,2026-08-30,验收标准已备；实现缺口,显式标识测试矩阵已备,部分,工程5至10个工作日加验收2至3个工作日,2026-08-17,docs/Release/wave1/08-ai-labeling-acceptance-standard.md,,W08,2026-07-27,2026-08-02周审,实现持续和导出显式标识并提交每类5个样本,标准已备不等于实现通过
G-15,B0,AI标识,AI生成内容文件元数据隐式标识可生成可验证,客户端负责人/后端负责人,2026-08-30,验收标准已备；实现缺口,元数据映射和传播链测试矩阵已备,部分,工程5至10个工作日加验收2至3个工作日,2026-08-17,docs/Release/wave1/08-ai-labeling-acceptance-standard.md,,W08,2026-07-27,2026-08-02周审,按正式标准实现元数据并提交原始文件解析和传播链证据,截图不能替代文件证据
G-16,B0,AI身份,模型输出UI语音和商店文案持续披露AI身份且不冒充自然人,产品负责人/AI负责人,2026-08-30,已观察到冲突,AI身份失败标准已写入Wave1验收,否,项目估算2至5个工作日加红队,2026-08-21,app/lib/persona-stability.ts;docs/Release/wave1/08-ai-labeling-acceptance-standard.md,,W08,2026-07-27,2026-08-02周审,修正隐藏AI身份的提示并完成回归测试,现有提示包含真实人格措辞
G-17,B0,未成年人,年龄有效识别隔离监护及误判申诉流程可用,产品负责人/安全负责人,2026-08-30,已观察到缺口,Wave1模板明确排除未成年人但产品门未实现,部分,项目估算5至10个工作日,2026-08-10,src/components/create-memory/CreateMemoryExperience.tsx;docs/Release/wave1/05-photo-blind-test-authorization.md,,W08,2026-07-27,2026-08-02周审,完成有效识别隔离监护申诉和绕过测试,18加勾选不能单独关闭
G-18,B0,安全,极端情境处置依赖动态提醒连续两小时提醒和便捷退出可验证,安全负责人/运营负责人,2026-08-30,已观察到缺口,非Wave1外部申请项,部分,项目估算5至10个工作日加演练,2026-08-10,docs/Architecture/security-architecture-v1.md,,W08,2026-07-27,2026-08-02周审,实现人工应急流程提醒退出并完成演练,现有架构仅记录不阻断
G-19,B0/B2,投诉处置,投诉举报下架申诉均可提交跟踪留痕且有SLA,运营负责人/产品负责人,2026-08-30,SOP草案已备；线上缺口,工单字段分级SLA下架申诉模板已备,部分,实现项目估算5至10个工作日加2个工作日演练,2026-08-10,docs/Release/wave1/07-rights-dispute-takedown-sop.md;app/report/page.tsx,,W08,2026-07-27,2026-08-02周审,配置真实渠道工单系统值班并完成四类演练,仅SOP或邮箱不能关闭
G-20,B0,公开内容,公开分享和作品广场具备完整内容治理否则从1.0移除,产品负责人/运营负责人,2026-07-31,范围决策已记录；技术闸未核验,Wave1重申作品广场延期1.1和公开分享默认关闭,是,本人签字0.5个工作日；工程闸项目估算1至3个工作日,2026-07-31,docs/Release/WAVE1_USER_ACTION_PACK.md;app/share/[id]/page.tsx,,W08,2026-07-27,2026-08-02周审,本人签署范围并由工程证明公众不可达,审核举报下架申诉缺一不可
G-21,B0,范围闸,人格聊天长期记忆声音分别具备白名单开关审计和回滚,产品负责人/后端负责人,2026-08-30,未核验,Wave1重申只能内测未提供技术证据,否,项目估算2至5个工作日加回滚演练,2026-08-17,docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,实施服务端fail-closed白名单审计和回滚,合规Gate未通过不得公开
G-22,B1,Apple,数字内容和AI权益使用合规应用内购买或从iOS范围移除,产品负责人/iOS负责人,2026-09-06,已观察到缺口,Wave1要求本人作出移除或IAP决策,是,范围决策1个工作日；IAP项目估算10至20个工作日,2026-08-07,features/payment;docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,签署iOS范围决策并接入IAP或移除购买入口,现有网页支付不能证明合规
G-23,B1条件,Apple,第三方登录满足Apple同等登录选项要求或具备官方例外依据,产品负责人/iOS负责人,2026-09-06,未核验,Wave1要求本人冻结登录范围,是,范围决策1个工作日；适用实现项目估算5至10个工作日,2026-08-17,src/server/auth/wechat;docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,锁定登录范围并按适用规则实现和测试,公开微信登录时触发
G-24,B1/B2,商店提交,所有目标商店材料审核账户和候选包完成双人预检,发布负责人/用户本人,2026-09-13,六市场账号未核验；材料清单已备,六市场企业账号和资质逐项清单已备,是,小米官方1至3个工作日；其他市场项目估算2至10个工作日；补件另计,2026-07-30,docs/Release/wave1/04-android-market-account-pack.md;docs/Release/sprint21-store-submission-matrix.md,,W08,2026-07-27,2026-08-02周审,逐平台注册并记录原始实名认证和提交权限状态,账号通过不等于应用审核或监管批准
